symbol,name,sector,security_type,board,index_membership,effective_date,end_date,source
0960.HK,LONGFOR GROUP,Properties & Construction,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0968.HK,XINYI SOLAR,"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0981.HK,SMIC,Information Technology,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0992.HK,LENOVO GROUP,Information Technology,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1024.HK,KUAISHOU - W,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1038.HK,CKI HOLDINGS,Telecommunications and Utilities,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1044.HK,HENGAN INT'L,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1088.HK,CHINA SHENHUA (H),Energy,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1093.HK,CSPC PHARMA,Healthcare,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1099.HK,SINOPHARM (H),Healthcare,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1109.HK,CHINA RES LAND,Properties & Construction,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1113.HK,CK ASSET,Properties & Construction,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1177.HK,SBP GROUP,Healthcare,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1209.HK,CHINA RES MIXC,Properties & Construction,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1211.HK,BYD COMPANY (H),Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1288.HK,ABC (H),Financials,Common Stock,Main Board,HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1299.HK,AIA,Financials,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
